species,sex,ID,color_band,trt,section,site,date,year,nest,age,stage,light,lux,LAeq,LZeq,LAF90,LAeq_N,mass,tarsus,wing,tail,eye,bill.l,bill.tn,bill.d,bill.w,muscle,fat,cp_score,measurer,nb_date,egg_date,
MOBL,M,2771-10664,,Light+Noise,orange,TP04,5/7/19,2019,TP04B5,AHY,Chx,Y,2.06,46,72.4,,46,28.5,21.9,113,,,10.7,,3.7,5.5,,2,3,JP,4/9/19,4/13/19,
MOBL,M,2791-95573,,Control,orange,TP06,5/26/19,2019,TP06B9,AHY,Chx,N,0,37.95,,,37.95,32,22.6,112,,,12.3,,4.4,5.5,,2,3,JP,,4/30/19,
MOBL,F,2771-10676,,Light,orange,CP04,5/16/19,2019,CP04B11,AHY,Chx,Y,0.58,31.1,70.7,,31.1,32,22.2,106,,,13.5,,4.5,5.5,,2,0,JP,4/18/19,4/26/19,
MOBL,F,2771-10679,,Control,orange,CP06,5/19/19,2019,CP06B8,AHY,Chx,N,0,36.8,65,,36.8,31,23.3,111,,,11.9,,4.5,5.7,,2,0,JP,4/11/19,4/26/19,
MOBL,F,2791-95474,,Control,green,CP05,5/12/21,2021,CP05B04,AHY,Eggs,N,0,39.1,64,,39.13,33.7,22,114,,,14.9,,4.2,3.7,,1,0,WBD,4/27/21,5/5/21,
MOBL,F,2791-95476,,Control,orange,CP06,5/16/21,2021,CP06B8,AHY,Eggs,N,0,32.1,63.53,,32.1,33.1,22.4,108,,,13,,4.5,5.2,,2,0,JP,5/2/21,5/5/21,
MOBL,M,2941-04020,,Light,red,PC13,6/7/21,2021,PC13B1,AHY,Chx,Y,0.77,34.76,69,,34.76,26.5,22.5,107,,,12.6,,4.4,5.4,,2,3,JP,5/7/21,5/14/21,
MOBL,M,2791-95573,,Control,orange,TP06,5/25/21,2021,TP06B9,AHY,Chx,N,0,37.95,,,37.95,30.9,22.7,113,,,12.6,,4.5,5.4,,2,3,JP,,4/24/21,
MOBL,F,2791-95477,,Light,orange,CP04,5/16/21,2021,CP04B11,AHY,Eggs,Y,0.57,35.56,,,36.56,34.7,22.2,108,,,12.2,,4.1,5.5,,3,0,JP,5/2/21,5/3/21,
MOBL,F,2791-95472,,Light+Noise,orange,TP04,5/11/21,2021,TP04B4,AHY,Eggs,Y,0,48.46,69.66,,48.46,31.8,22,107,,,12.5,,4.8,5.5,,3,0,SL,4/24/21,5/2/21,
MOBL,M,2791-95494,,Light,orange,CP04,5/27/21,2021,CP04B11,AHY,Chx,Y,0.57,35.56,,,36.56,28.1,22.5,115,,,12.8,,4.4,5.5,,1,3,JP,5/2/21,5/3/21,
MOBL,F,2821-25064,OR-RS,Light,green,PC6,4/14/24,2024,PC6B1,AHY,TE,Y,0.47,37.6,72,34.4,39.8,27,23,109,62,6.3,13.1,10.2,5.1,4.3,2,0,,SL,4/19/24,5/5/24,
MOBL,F,2821-25073,YY-OS,Light,red,PC13,5/13/24,2024,PC13B1-nest1 ,AHY,Eggs,Y,1.26,35.3,69.3,28.3,35.85,29.5,20.55,114,81,6,12.35,9.3,4.4,5.3,2,2,,SL,4/12/24,5/1/24,
MOBL,F,2821-25066,GB-BS,Light,yellow,CP12,4/20/24,2024,CP12B6,AHY,TE,Y,0,34.8,62.9,31.7,34.8,33.5,23,110,65,6.1,12,10.5,4.3,5.8,2,2,,SL,4/16/24,4/28/24,
MOBL,F,2821-25062,RS-RR,Light,yellow,CP12,4/11/24,2024,CP12B12,AHY,TE,Y,0.55,34.7,72.2,26.7,36.4,27.5,22.8,112,63,7.2,11,10.2,4.25,5.9,3,1,,SL,5/1/24,5/13/24,
MOBL,M,3011-08006,OO-WS,Light,red,PC13,7/18/24,2024,PC13B1-nest2,AHY,Chx,Y,1.26,36.4,65.9,33.5,35.85,,22.7,115,76,5.89,12.8,11.4,4.7,6.75,2,0,,JP,,6/24/24,
MOBL,F,2821-25064,OR-RS,Light,green,PC6,6/4/24,2024,PC6B1,AHY,Chx,Y,0.47,39.8,70.7,33.9,39.8,23.76,,,,,,,,,1,0,,TP,,,
MOBL,M,3011-18091,GS-GO,Control,red,CP08,4/23/25,2025,CP08B9,ASY,TE,N,0,40.7,64.6,39.1,46.3,25.51,21,113.5,76,4.6,12.7,9.6,4.1,4.5,2,0,3,TV,4/17/25,,
MOBL,M,3011-18086,YS-YY,Light,yellow,CP12,4/12/25,2025,CP12B13,ASY,TE,Y,0,31.9,72.5,28.7,34,26.47,23,117,82,4.7,12.7,9.7,3.8,4.5,4,1,3,TV,4/12/25,4/19/25,
MOBL,F,3011-18100,BS-WG,Light,yellow,CP12,5/12/25,2025,CP12B4,ASY,Eggs,Y,0,31.6,65.7,29.5,31.6,30.65,20.7,110,69,6.1,11.2,8.7,4,4.6,2,0,,TP,4/10/25,5/3/25,
MOBL,F,3011-18038,GM-KS,Light,green,PC6,5/21/25,2025,PC6B6,ASY,Eggs,Y,0.19,35.1,63.8,32.9,32.34,31.84,23.6,108,62,7.2,13,9.8,4.4,5.3,2,0,,EM,5/5/25,5/9/25,
MOBL,F,3011-18066,BO-YS,Light+Noise,green,TP07,5/29/25,2025,TP07B11,ASY,Eggs,Y,1.09,34.9,62,33,31,30.01,22.2,110,70,5.2,13.9,10.1,4.4,5.5,2,2,0,TV,5/1/25,5/15/25,
MOBL,F,2821-25062,RS-RR,Light,yellow,CP12,4/9/25,2025,CP12B12,ASY,TE,Y,0.76,33.3,26.8,26.3,33.3,27.86,22,113,72,6.1,13.5,10.8,4.2,5.7,2,1,,TV,4/24/25,5/6/25,
WEBL,F,2791-95508,,Light+Noise,orange,TP04,5/5/18,2018,TP04B2,AHY,Eggs,Y,0,50.8,,,50.8,31.2,20.1,99,,,11.4,,,4.1,,2,,JP,,4/27/18,
WEBL,M,2771-10677,,Light,blue,CP02,5/15/19,2019,CP02B9,AHY,Chx,Y,1.57,35.1,,,35.1,27,20.7,109,,,11.1,,4.3,4.7,,1,0,CAL,4/17/19,4/27/19,
WEBL,F,2791-95547,,Light,yellow,CP12,5/21/19,2019,CP12B6,AHY,Eggs,Y,0,44.4,,,44.4,29.2,18.3,100,,,11.5,,3.9,5.5,,2,0,JP,4/24/19,5/6/19,
WEBL,M,2771-10678,,Light+Noise,blue,TP02,5/15/19,2019,TP02B7,AHY,Chx,Y,0.25,37.2,,,37.2,,21.5,109,,,10.9,,4,5.1,,3,0,CAL,4/5/19,4/27/19,
WEBL,F,2791-95553,,Noise,green,TP05,5/25/19,2019,TP05B4,AHY,Chx,N,0,53.3,,,53.3,29,20,101,,,11.2,,4.2,4.8,,2,0,JP,4/24/19,5/3/19,
WEBL,F,2941-04021,,Light+Noise,pink,TP09,6/9/21,2021,TP09B4,AHY,Chx,Y,0,46.67,,,46.67,24.4,20.5,99,,,11.1,,4.1,5.1,,1,0,JP,5/10/21,5/15/21,
WEBL,F,2791-95475,,Light,green,PC6,5/13/21,2021,PC6B06,AHY,Eggs,Y,1.09,37.3,,,37.3,32,21.3,106,,,16.4,,4.4,3.2,,2,0,MM,4/26/21,5/3/21,
WEBL,F,2791-95473,,Light,yellow,CP12,5/11/21,2021,CP12B9,AHY,Eggs,Y,0.16,40.97,,,41,27.6,21.4,107,,,15.5,,5,3.5,,1,0,WBD,4/23/21,5/1/21,
WEBL,M,2941-04078,,Control,blue,TP01,7/7/21,2021,TP01B06,AHY,Chx,N,0,36,,,36,26.4,20.4,109,,,12.3,,4,5.2,,1,3,JP,,6/16/21,
WEBL,F,2791-95483,,Noise,orange,PT3,5/23/21,2021,PT3B5,AHY,Eggs,N,0,39.1,,,39.1,29,19.1,101,,,,,,,,2,0,JP,5/2/21,5/11/21,
WEBL,M,2941-73552,WW-WS,Light,yellow,CP12,5/31/24,2024,CP12B14,AHY,Chx,Y,0.25,37.2,65.4,32.1,37.2,24.45,21,105,67,6.2,12.7,8.8,4.5,4.4,1,0,,TP,5/1/24,5/8/24,
WEBL,F,2821-25072,YY-RS,Control,orange,CP06,5/8/24,2024,CP06B5,AHY,Eggs,N,0,32.6,66.3,30,32.6,26.5,20.6,105,67,5.3,11,9.2,4.1,5.5,3,0,,SL,4/15/24,4/26/24,
WEBL,F,2821-25074,OO-OS,Light,blue,CP02,5/14/24,2024,CP02B9,AHY,Eggs,Y,1.34,32.8,70.5,30.8,32.8,28.5,21,103.5,68,6,12.25,9.7,3.95,4.95,3,0,,SL,4/21/24,5/3/24,
WEBL,M,2821-25065,WB-YS,Light,yellow,CP12,4/20/24,2024,CP12B9,AHY,TE,Y,0.31,37.2,65.4,32.1,37.2,24,19.4,106,65,6.1,10.9,8.6,4,4.6,1,0,,SL,4/11/24,5/3/24,
WEBL,F,2941-13548,WS-BW,Light,orange,CP04,4/29/24,2024,CP04B3,AHY,TE,Y,0.93,36.6,76.5,32,36.6,28,18.8,99.2,62,6.45,16.1,14.6,6.05,9.25,2,2,,JP,4/22/24,,
WEBL,M,2821-25067,GY-RS,Light+Noise,yellow,PT11,4/21/24,2024,PT11B05,AHY,TE,Y,0.26,40.5,76.2,39.2,,26.5,21.2,115,64,5.8,11.1,9.3,4,4.7,1,1,,SL,4/11/24,,
WEBL,F,2821-25075,KB-OS,Light,yellow,CP12,5/16/24,2024,CP12B9,AHY,Eggs,Y,0.31,37.2,65.4,32.1,37.2,26.2,21,106,71,6.5,12.4,10.9,4.4,4.5,2,0,,TP,4/11/24,5/3/24,
WEBL,F,2821-25074,OO-OS,Light,blue,CP02,6/20/24,2024,CP02B09,AHY,Chx,Y,0,38.1,75.3,36.4,38.1,24,21,100,61,5.8,12.2,10.2,4.6,5.65,2,1,,JP,4/21/24,5/3/24,
WEBL,F,2821-25100,YY-OS,Light+Noise,pink,TP09,5/30/24,2024,TP09B15,AHY,Chx,Y,0,44.4,75,43,44.4,24.99,21.8,105,73,7.2,10.1,8.8,4.7,4.8,1,0,,TP,4/23/24,5/10/24,
WEBL,M,2941-73599,GG-RS,Light,blue,CP02,6/21/24,2024,CP02B1,AHY,Chx,Y,0.19,28.8,63.6,26.6,28.8,24.6,22.5,106,78,6.5,12.3,8.9,5,5.6,1,0,,TP,5/7/24,5/23/24,
WEBL,M,2821-25068,WB-OS,Light,green,PC6,4/22/24,2024,,AHY,TE,Y,1.2,32,65.1,25,,26,21.3,109,67,5.5,12.8,9.3,4.2,5.8,1,1,,SL,,,
WEBL,M,3011-18002,OS-RR,Light,blue,CP02,6/20/24,2024,CP02B8,AHY,Chx,Y,0,38.1,75.3,36.4,38.1,22.5,18.1,104.5,71,5.79,12,10.05,4.5,6.45,2,1,,JP,5/17/24,5/22/24,
WEBL,M,,GG-GG,Light,green,PC6,6/18/24,2024,PC6B7,AHY,Chx,Y,0.6,36.6,68.5,33.4,36.6,23.2,,,,,,,,,2,1,,JP,5/11/24,5/15/24,
WEBL,F,2941-73549,GS-GG,Light,green,PC6,5/2/24,2024,PC6B08,AHY,Eggs,Y,0.41,35,67.6,33.5,35,30.74,19.7,104,61,6.1,10.5,9.4,4,5.7,2,2,,JP,4/19/24,4/27/24,
WEBL,F,3011-18045,GG-GS,Control,orange,CP06,6/10/25,2025,CP06B8,ASY,Eggs,N,0,26.5,67.1,23.3,27.3,27.76,22.7,107.5,64,5.1,11.5,9.5,4.1,4.9,2,2,0,CM,5/27/25,5/29/25,
WEBL,F,3011-18037,GR-GS,Light,yellow,CP12,5/20/25,2025,CP12B8,ASY,Eggs,Y,0,30.2,58.9,24.2,31.4,24.83,19.7,104,67,5.1,12.4,9.2,4.1,4.8,2,1,,TV,4/29/25,5/8/25,
WEBL,F,3011-18065,OR-KS,Light+Noise,green,TP07,5/29/25,2025,TP07B14,SY,Eggs,Y,0.41,30.6,67.5,26.1,32.52,26.48,22.2,102,67,4.7,12,9.7,4.2,4.8,3,1,0,CM,5/1/25,5/15/25,
WEBL,F,3011-18085,WS-OB,Light,yellow,CP12,4/12/25,2025,CP12B6,ASY,Eggs,Y,0,32.5,75.1,30.6,35.05,30.87,19.8,100,69,4.7,11.5,9.4,4.2,4.9,3,0,0,TV,4/5/25,4/12/25,
WEBL,M,3011-18088,GS-OO,Noise,red,PT15,4/17/25,2025,PT15B8,ASY,TE,N,0,39.8,75.7,36.4,40,24.75,20.6,105,72,4.3,11.6,9.1,4.1,4.5,3,0,2,TV,4/11/25,,
WEBL,F,2821-25074,OO-OS,Light,blue,CP02,5/21/25,2025,CP02B12,ASY,Eggs,Y,1.02,34.2,61.9,30.2,34.4,27.45,20.5,101.5,66,4.8,13,9.7,4,4.6,3,1,,TV,4/17/25,5/6/25,
WEBL,M,3241-54709,RW-KS,Light,green,PC6,5/28/25,2025,PC6B3,SY,Chx,Y,0.01,27.1,58.3,26.1,29.42,24.14,19,108,73,4.8,11.5,9.2,4.2,4.6,2,0,3,AR,5/1/25,5/11/25,
WEBL,F,3011-18015,OS-GR,Light+Noise,blue,TP02,5/16/25,2025,TP02B15,SY,Eggs,Y,1.4,36.3,78.7,30.3,32.58,25.87,17.1,102,63,4.8,11.2,8.8,3.8,4.6,2,0,0,TP,4/21/25,4/28/25,
WEBL,M,3011-18084,YS-WW,Light,orange,CP04,4/11/25,2025,CP04B12,ASY,TE,Y,0.99,28.1,69,26.1,39.35,23.34,20.2,111,74,4.5,12.5,9.7,3.8,4.76,2,0,3,TV,4/26/25,5/2/25,
WEBL,F,3011-18030,BS-OR,Light,red,PC13,5/4/25,2025,PC13B9,ASY,TE,Y,0.63,37,65.4,34,35.2,,19.6,105,67,4.7,13.2,10.2,4,4.6,3,1,,TV,5/8/25,5/14/25,
WEBL,M,3011-18087,YS-KB,Control,green,CP05,4/15/25,2025,CP05B1,ASY,TE,N,0,25.8,70.6,23.7,39.22,26.53,20.7,112,80,4.5,11.7,9.4,4.1,4.8,3,1,3,TV,4/10/25,4/19/25,
WEBL,F,3011-18093,BS-RR,Light,blue,CP02,5/19/25,2025,CP02B5,AHY,Eggs,Y,0.45,39,76.1,36.8,39.68,26.89,,,,,,,,,2,0,,CM,4/21/25,5/3/25,
WEBL,M,3011-18094,YS-GO,Light+Noise,green,TP07,5/1/25,2025,TP07B13,SY,TE,Y,0.21,28.6,68,25.7,32.52,24.01,19.9,106,67,4.3,12.2,10.2,4,4.9,3,0,3,TV,5/1/25,5/15/25,
WEBL,M,3011-18090,RS-OY,Light+Noise,blue,TP02,4/21/25,2025,TP02B15,ASY,TE,Y,1.4,36.3,78.7,30.3,32.58,26.17,20.1,109,70,4.3,11.7,9,4.2,4.9,3,0,3,TV,4/21/25,4/28/25,
WEBL,M,3011-18010,OS-KY,Light,blue,CP02,5/19/25,2025,CP02B5,ASY,Eggs,Y,0.45,39,76.1,36.8,39.68,27.66,20.3,113,71,5.7,11.6,8.8,4.1,4.9,2,0,3,TP,4/21/25,5/3/25,
WEBL,F,3011-18089,YS-KY,Noise,red,PT15,4/17/25,2025,PT15B8,ASY,TE,N,0,39.8,75.7,36.4,40,26.08,20.1,103,68,5,11.9,9.9,4.1,4.5,3,1,0,TV,4/11/25,,
WEBL,F,3011-18093,BS-RR,Light,blue,CP02,4/24/25,2025,CP02B5,ASY,TE,Y,0.45,41.3,60.3,40.1,39.68,25.34,19.9,105,61,5.1,10.3,8.6,4.1,4.4,3,0,0,TP,4/21/25,5/3/25,
WEBL,F,3011-18092,BS-OY,Light,yellow,CP12,4/24/25,2025,CP12B10,AHY,TE,Y,0,42.5,64.6,36,37.65,28.02,18.9,101,64,6.2,10.1,8.1,4.1,5,2,1,0,TP,4/16/25,4/27/25,
WEBL,M,2821-25068,WB-OS,Light,green,PC6,4/14/25,2025,PC6B8,ASY,TE,Y,0.54,36.2,73.7,33.7,33.15,26.63,20.6,108,71,4.9,12.3,10,4,5.3,3,0,3,TV,4/17/25,4/29/25,
WEBL,M,3011-18002,OS-RR,Light,blue,CP02,5/21/25,2025,CP02B12,ASY,Eggs,Y,1.02,34.2,61.9,30.2,34.4,25.76,18.5,110,74,4.9,12.15,9.7,3.9,5.35,3,0,3,TV,4/17/25,5/6/25,
WEBL,F,3011-18092,BS-OY,Light,yellow,CP12,5/12/25,2025,CP12B10,AHY,Eggs,Y,0,42.5,64.6,36,37.65,27.32,,,,,,,,,2,0,,TP,4/16/25,4/27/25,
WEBL,F,3011-18035,OO-GS,Control,orange,TP06,5/14/25,2025,TP06B9,SY,Eggs,N,0,35.1,63.1,,35.1,27.66,18.3,100.2,64,6,11.9,9.3,4.4,5.7,3,2,,JP,,,
WEBL,F,3241-54804,OS-WR,Noise,green,TP05,5/25/25,2025,TP05B5,SY,Eggs,N,0,45.9,70.5,44.6,42.68,28,18.9,101,63,5,13,10.3,4.1,4.8,2,0,0,AR,5/10/25,5/13/25,
WEBL,M,3241-54705,GS-BB,Noise,green,TP05,5/25/25,2025,TP05B5,AHY,Eggs,N,0,40.4,70.7,38.8,42.68,25.99,20.8,110,69,6,11.1,7.7,4.5,5.9,2,0,3,EM,5/10/25,5/13/25,
WEBL,F,3241-54854,BS-WG,Light+Noise,pink,TP09,6/12/25,2025,TP09B13,AHY,Chx,Y,0.45,48,78,46.6,49.18,25.13,21.4,104,65,4.8,12.6,10.6,4.2,4.5,2,0,0,CM,4/20/25,5/15/25,
WEBL,F,3011-18067,RO-BS,Noise,orange,PT3,5/28/25,2025,PT3B10,SY,Eggs,N,0,51.5,71,55,41.98,26.37,21.5,102,63,5.5,11.4,9.6,4,4.7,2,0,0,CM,4/24/25,5/13/25,